$1_superfecta.numbers,$1_superfecta.paid,$1_trifecta.numbers,$1_trifecta.paid,$2_exacta.numbers,$2_exacta.paid,1.daily_double.numbers,1.daily_double.paid,1.exacta.numbers,1.exacta.paid,1.first.gate,1.first.name,1.first.place,1.first.show,1.first.win,1.second.gate,1.second.name,1.second.place,1.second.show,1.superfecta.numbers,1.superfecta.paid,1.third.gate,1.third.name,1.third.show,1.trifecta.numbers,1.trifecta.paid,10.daily_double.numbers,10.daily_double.paid,10.exacta.numbers,10.exacta.paid,10.first.gate,10.first.name,10.first.place,10.first.show,10.first.win,10.pick_3.numbers,10.pick_3.paid,10.pick_4.numbers,10.pick_4.paid,10.pick_5.numbers,10.pick_5.paid,10.second.gate,10.second.name,10.second.place,10.second.show,10.superfecta.numbers,10.superfecta.paid,10.third.gate,10.third.name,10.third.show,11.daily_double.numbers,11.daily_double.paid,11.exacta.numbers,11.exacta.paid,11.first.gate,11.first.name,11.first.place,11.first.show,11.first.win,11.pick_3.numbers,11.pick_3.paid,11.pick_4.numbers,11.pick_4.paid,11.pick_5.numbers,11.pick_5.paid,11.second.gate,11.second.name,11.second.place,11.second.show,11.superfecta.numbers,11.superfecta.paid,11.third.gate,11.third.name,11.third.show,11.trifecta.numbers,11.trifecta.paid,2.daily_double.numbers,2.daily_double.paid,2.exacta.numbers,2.exacta.paid,2.first.gate,2.first.name,2.first.place,2.first.show,2.first.win,2.second.gate,2.second.name,2.second.place,2.second.show,2.superfecta.numbers,2.superfecta.paid,2.third.gate,2.third.name,2.third.show,2.trifecta.numbers,2.trifecta.paid,3.daily_double.numbers,3.daily_double.paid,3.exacta.numbers,3.exacta.paid,3.first.gate,3.first.name,3.first.place,3.first.show,3.first.win,3.pick_3.numbers,3.pick_3.paid,3.second.gate,3.second.name,3.second.place,3.second.show,3.superfecta.numbers,3.superfecta.paid,3.third.gate,3.third.name,3.third.show,3.trifecta.numbers,3.trifecta.paid,4.daily_double.numbers,4.daily_double.paid,4.exacta.numbers,4.exacta.paid,4.first.gate,4.first.name,4.first.place,4.first.show,4.first.win,4.pick_3.numbers,4.pick_3.paid,4.pick_4.numbers,4.pick_4.paid,4.second.gate,4.second.name,4.second.place,4.second.show,4.superfecta.numbers,4.superfecta.paid,4.third.gate,4.third.name,4.third.show,4.trifecta.numbers,4.trifecta.paid,5.daily_double.numbers,5.daily_double.paid,5.exacta.numbers,5.exacta.paid,5.first.gate,5.first.name,5.first.place,5.first.show,5.first.win,5.pick_3.numbers,5.pick_3.paid,5.second.gate,5.second.name,5.second.place,5.second.show,5.superfecta.numbers,5.superfecta.paid,5.third.gate,5.third.name,5.third.show,5.trifecta.numbers,5.trifecta.paid,6.daily_double.numbers,6.daily_double.paid,6.exacta.numbers,6.exacta.paid,6.first.gate,6.first.name,6.first.place,6.first.show,6.first.win,6.pick_3.numbers,6.pick_3.paid,6.second.gate,6.second.name,6.second.place,6.second.show,6.superfecta.numbers,6.superfecta.paid,6.third.gate,6.third.name,6.third.show,6.trifecta.numbers,6.trifecta.paid,7.daily_double.numbers,7.daily_double.paid,7.exacta.numbers,7.exacta.paid,7.first.gate,7.first.name,7.first.place,7.first.show,7.first.win,7.pick_3.numbers,7.pick_3.paid,7.pick_4.numbers,7.pick_4.paid,7.second.gate,7.second.name,7.second.place,7.second.show,7.superfecta.numbers,7.superfecta.paid,7.third.gate,7.third.name,7.third.show,7.trifecta.numbers,7.trifecta.paid,8.daily_double.numbers,8.daily_double.paid,8.exacta.numbers,8.exacta.paid,8.first.gate,8.first.name,8.first.place,8.first.show,8.first.win,8.pick_3.numbers,8.pick_3.paid,8.second.gate,8.second.name,8.second.place,8.second.show,8.superfecta.numbers,8.superfecta.paid,8.third.gate,8.third.name,8.third.show,8.trifecta.numbers,8.trifecta.paid,9.daily_double.numbers,9.daily_double.paid,9.exacta.numbers,9.exacta.paid,9.first.gate,9.first.name,9.first.place,9.first.show,9.first.win,9.pick_3.numbers,9.pick_3.paid,9.pick_4.numbers,9.pick_4.paid,9.pick_5.numbers,9.pick_5.paid,9.second.gate,9.second.name,9.second.place,9.second.show,9.superfecta.numbers,9.superfecta.paid,9.third.gate,9.third.name,9.third.show,9.trifecta.numbers,9.trifecta.paid,year
,,,,,,,,2-6,26.6,2,Banjammer,3.6,3.0,7.0,6,Flattermejim,4.0,2.8,2-6-5-1,133.6,5,Silent Pipe,3.2,2-6-5,87.0,3-4,17.6,4-1,21.2,4,Silver Max,3.8,,5.2,1-3-4,44.2,,,,,1,Daddy Nose Best,5.4,,,,6,Cease,,4-6,12.8,6-5,15.0,6,Run Hide,2.4,2.1,4.2,,,,,,,5,School Spirit,3.2,2.2,,,8,Short Story Long,2.4,6-5-8,35.8,2-7,31.6,7-5,29.2,7,Touch Of Revenge,4.2,2.1,7.6,5,Barksdale,4.0,2.2,7-5-3-4,119.6,3,Walkin In A Shadow,2.2,,,7-4,50.8,4-8,47.4,4,Tooprettyforwords,5.2,2.4,11.2,,,8,Keri This Day Lori,4.4,2.4,4-8-6-2,285.8,6,Council Bluff,2.1,,,4-2,34.8,2-1,50.6,2,D'cajun Cat,3.6,2.6,5.8,,,,,,Frat Man,7.4,3.6,2-1-6-4,466.4,6,Mygalsal,3.6,,,2-2,23.0,2-5,30.8,2,Scatman,4.2,2.8,9.0,,,5,Jasizzle,3.8,2.8,,,1,Rothko,2.4,2-5-1,61.6,2-1,23.4,1-3,24.8,1,All In Slew,3.6,3.0,5.6,,,3,Musicstreet Menace,5.0,3.4,1-3-7-6,475.2,7,Wakes Week,5.0,,,1-8,6.2,6-5,54.0,6,Rincon Behr,5.4,3.4,12.0,,,,,5,Cost Affective,4.8,2.8,,,3,Argosy,3.0,,,6-1,24.6,1-4,12.2,1,Lea,2.6,,3.4,1-6-1,103.0,4,Tetradrachm,4.0,,,,2,Dreaming Blue,,,,1-3,9.8,3-2,25.2,3,Sky Girl,3.4,3.2,5.6,,,,,,,2,Liberated,5.6,4.0,3-2-5-4,1435.0,5,Gamay Noir,5.8,,,2013-06-01
,,,,,,,,7-3,54.4,7,Missing Sefa,6.2,3.8,13.4,3,Maybelle Slew,5.4,4.4,7-3-6-1,2353.4,6,La Grenouille,11.4,7-3-6,737.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7-5,63.6,5-1,34.4,5,Lookn Mighty Fast,3.4,2.2,8.2,1,Grand Traverse,4.2,2.6,5-1-3-6,362.6,3,Mr. Prankster,2.2,,,5-1,31.0,1-2,40.2,1,Biker Boy,3.8,3.4,6.4,,,2,Our Dark Knight,6.6,4.8,1-2-6-3,1089.0,6,Laope,7.4,,,1-4,15.0,4-2,10.0,4,Bin Elusive,3.0,,3.6,5-1-4,65.8,,,2,Before You Know It,3.6,,,,6,Holiday Bertie,,,,4-3,13.2,3-8,20.6,3,Bahnah,3.2,2.6,5.8,,,8,Whomping Willow,3.8,3.4,3-8-9-4,645.2,9,Lady Red Di,9.0,,,3-2,29.8,2-6,23.0,2,Flashy American,3.0,2.4,6.8,,,6,Gold Medal Dancer,3.0,2.4,,,4,Daydreamin Gracie,2.4,2-6-4,71.4,2-5,6.4,3-6,119.0,3,Downtownoscarbrown,9.8,6.4,18.0,,,,,6,Strong Humor,7.4,5.6,,,1,Gladhander,13.6,,,3-6,79.8,6-5,25.0,6,Wash Park,3.0,3.0,5.6,,,5,Our Rock Star,3.8,3.2,6-5-4-1,307.8,4,Ready For More,4.6,,,6-2,58.2,2-4,172.0,2,Amarish,9.8,6.2,21.8,,,,,,,4,Billy Two Hats,7.8,4.4,2-4-3-7,2232.6,3,Perregaux,3.4,,,2013-06-06
,,,,,,,,3-2,67.0,3,Nasty Girl Blues,10.4,3.4,31.6,2,Pretty Heiress,4.2,2.4,3-2-5-1,569.4,5,Flashy Rae,2.4,3-2-5,251.6,8-9,465.6,9-3,441.8,9,Hennyville,19.8,8.4,61.6,,,,,,,3,I'm Your Luv,3.8,2.8,9-3-4-6,42799.0,4,Tree Hugger,4.6,9-9,281.0,9-8,24.4,9,Zeke Mccool,3.2,2.6,5.0,,,,,,,8,Portman,6.2,3.6,9-8-1-4,807.2,1,Basone,3.0,,,3-1,98.8,1-2,16.2,1,Kid Twist,3.6,2.4,7.6,2,Thaaats Right,2.6,2.2,1-2-5-6,180.4,5,King Archibald,2.2,,,1-3,50.0,3-1,44.4,3,Wild Pantera,4.8,3.2,9.8,,,,True Blue Julie,4.6,3.4,3-1-4-2,759.6,4,Simply Dashing,4.6,,,3-3,18.4,3-1,6.4,3,Good Deed,2.2,2.1,3.6,,,,,1,Sweet Cassiopeia,2.6,2.2,3-1-4-2,98.8,4,A Time To Love,3.2,,,3-8,9.0,8-4,126.0,8,Cruise Director,3.6,2.4,4.4,,,4,Zero X Zero,24.2,6.8,8-4-6-1,2753.4,6,Feature Winner,3.0,,,8-2,11.8,2-1,10.2,2,W W Olma,2.6,2.1,4.4,,,1,Queen Anna,3.4,2.4,2-1-5-6,65.6,5,Soto's Hija,2.2,,,2-8,18.4,8-3,46.8,8,Three Am Tour (ire),5.0,2.8,7.6,,,,,3,Ultimate Class,6.8,3.6,8-3-2-6,640.0,2,Donna Getyourgun,2.2,,,8-7,26.2,7-3,77.0,7,Greek Bird,3.4,2.2,6.2,,,3,Giant Cat Tale,11.4,3.4,,,1,Cue E Dee,2.2,7-3-1,175.0,7-8,44.4,8-4,103.0,8,Perfect Title,6.6,4.2,14.0,,,,,,,4,Cary Street,9.4,6.2,8-4-1-3,4399.6,1,Windswept,6.0,,,2013-06-07
,,,,,,,,5-1,32.0,5,Racing Wildly,2.8,2.4,4.6,1,Hearts N Aces,5.6,4.0,5-1-4-6,532.6,4,Fleet Lauren,2.6,5-1-4,83.2,3-2,26.8,2-4,13.6,2,Pass The Pico,2.6,2.2,4.0,,,,,,,4,Thanks Bro,4.0,2.8,2-4-5-1,284.4,5,Street Call,2.8,2-9,20.4,9-11,57.0,9,Set The Sail,4.4,3.0,7.4,,,,,,,11,Bell By The Ridge,7.4,3.8,9-11-8-5,13437.4,8,Film Making,4.8,,,5-3,14.6,3-4,9.6,3,Gitto,2.6,2.2,5.0,4,Miami Ice,2.2,2.1,,,6,Roman Sur,3.4,3-4-6,65.4,3-3,57.6,3-5,97.8,3,Proud Image,8.4,4.4,19.2,,,5,Haunted,4.2,3.2,3-5-7-4,3685.6,7,Cactus Cognac,4.2,,,3-4,90.0,4-5,67.6,4,Elusive Act,4.2,2.8,8.0,,,,,5,Lake Michigan,8.8,4.2,4-5-3-7,1322.8,3,Watercolors,2.8,,,1-3,53.0,3-5,20.0,3,Miz Ida,3.2,2.6,9.6,,,5,Daisy Devine,2.6,2.2,3-5-1-6,189.8,1,Colonial Flag,3.2,,,1-2,117.2,2-6,56.4,2,Lion's Dub,5.6,3.4,22.6,,,6,Billybillwillywill,3.0,2.4,2-6-4-3,1158.4,4,Yankee Scholar,5.4,,,2-5,268.4,5-3,116.8,5,Duke Of Del Rey,9.6,4.6,23.2,,,,,3,Key Donation,5.2,3.4,5-3-1-4,1156.4,,Goodtimehadbyall,3.4,,,5-1,104.2,1-6,49.0,1,Sandbar,4.8,3.6,9.4,,,6,Big Gator,5.0,3.2,1-6-4-3,2664.6,4,Runkle,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-06-08
,,,,,,,,5-1,8.6,5,On The Same Page,2.4,2.1,3.4,1,Astral,3.6,2.2,5-1-3-6,33.6,3,Bluebrass Belle,2.6,5-1-3,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-5,16.4,5-2,35.2,5,Lion D N A,4.2,2.4,7.0,2,Go Go Lolo,5.6,2.6,,,4,Sunshineandsilence,2.1,5-2-4,82.0,5-6,27.0,6-5,34.6,6,Stormy Lord,3.8,2.4,6.6,,,5,Arborville,5.4,2.8,6-5-3-4,267.0,3,Allie's Event,2.2,,,6-2,34.2,2-7,20.6,2,Abelha Maestra,3.8,3.6,8.4,,,,,7,Drivingmitziandmax,2.8,2.4,2-7-6-5,746.0,6,Honey C,6.4,,,2-4,33.8,4-6,33.2,4,Surf Cast,3.8,3.2,9.0,,,6,Sir Jock,4.0,2.8,4-6-7-5,301.4,7,Our Noble Heart,3.0,,,4-6,28.6,6-5,24.4,6,La Mejor Fiesta,3.4,2.8,6.4,,,5,Scooter's Choice,3.6,2.8,6-5-3-4,549.4,3,Redgrass Cat,4.0,,,6-4,28.8,4-6,13.6,4,Blueeyesintherein,2.8,2.2,4.6,,,,,6,Same Cross,3.2,2.2,,,1,Sly Warrior,2.2,4-6-1,30.0,4-2,17.2,2-6,25.4,2,Delightful Magic,3.8,2.8,9.2,,,6,Fully Living,3.2,2.6,2-6-3-7,767.6,3,Tunka,3.0,,,2-3,19.8,3-5,15.2,3,Kendall M. D.,2.4,2.1,3.8,,,,,,,5,Maypark,4.2,2.8,3-5-4-9,195.8,4,Jackson Action,2.8,,,2013-06-13
,,,,,,,,5-2,14.0,5,La Stupenda,3.0,2.2,5.2,2,Emmy Rules,2.6,2.1,5-2-4-1,109.0,4,Brooks Beach,2.4,5-2-4,40.4,6-1,32.0,1-4,55.2,1,Good Morning Diva,4.8,3.6,9.6,,,,,,,4,Ghost Is Clear,5.2,4.2,1-4-2-7,2484.4,2,Right To Vote,8.2,1-1,221.6,1-2,185.6,1,Are We There Yet,19.6,9.0,79.0,,,,,,,2,Cash Cow,3.4,3.0,1-2-5-9,15624.0,5,Littlebitcranky,9.4,,,5-5,24.2,5-4,31.2,5,Kitty's Turn,4.4,3.0,7.0,4,High Mystery,5.6,4.2,5-4-2-1,291.2,2,Expecting Cash,4.0,,,5-6,28.4,6-2,12.8,6,Visionary Ruler,2.4,,4.4,5-5-6,128.8,2,Bemata,2.8,,,,3,Midnight Music,,,,6-5,18.8,5-3,22.6,5,Honey Hues,3.6,2.6,6.0,,,,,3,My Perfect Ten,5.2,2.6,5-3-4-6,188.6,4,Starstruck (ire),2.1,,,5-6,8.8,6-3,13.2,6,No Distinction,2.6,2.2,3.2,,,3,Golden Frontier,4.2,3.4,6-3-2-5,463.6,2,Lew And Mike,6.0,,,6-7,18.4,7-5,51.8,7,Noun,4.6,2.6,9.4,,,5,Givmethreestepsmr,5.2,3.2,7-5-6-1,297.4,6,My Daughter's Song,3.4,,,7-5,44.0,5-6,139.4,5,Here's Johnny,5.2,4.0,10.0,,,,,6,Indigo Diamond,10.8,5.2,5-6-2-7,3004.8,2,Manaus,4.2,,,5-2,33.8,2-8,38.8,2,Hey Leroy,4.4,3.2,8.4,,,8,Niemi Says No,4.4,3.4,2-8-1-5,810.2,1,The Roofer,3.6,,,2-6,34.4,6-9,25.8,6,Mico Margarita,3.0,2.8,6.4,,,,,,,9,Strike One,3.4,3.4,6-9-4-8,878.0,4,Hip Four Sixtynine,9.0,,,2013-06-14
,,,,,,,,1-8,28.4,1,Hillary D,3.6,2.4,5.8,8,Summon The Rain,6.8,3.2,1-8-7-6,1888.6,7,Justice Judy,2.4,1-8-7,103.8,3-1,9.6,1-2,33.2,1,Valiant Boy Sbfar,3.2,2.2,4.4,,,,,,,2,In X Hess,6.6,4.6,1-2-3-6,670.6,3,Smoke House,2.4,1-6,11.4,6-3,13.8,6,Magical Moon,2.8,2.2,4.2,,,,,,,3,To My Valentine (fr),3.2,2.4,6-3-7-4,318.4,7,Crazy Lucky,3.4,,,,,1-8,28.4,1,Hillary D,3.6,2.4,5.8,8,Summon The Rain,6.8,3.2,1-8-7-6,1888.6,7,Justice Judy,2.4,1-8-7,103.8,6-9,23.8,9-7,47.0,9,Speedinthruthecity,3.4,2.8,6.0,,,7,Yankee Union,6.6,5.0,9-7-4-5,1841.6,4,Toxis,4.8,,,9-5,56.2,5-4,477.8,5,Lent,7.4,5.0,14.0,,,,,4,Shaker Village,33.2,15.0,5-4-12-1,44939.4,12,Strike It Big,5.8,,,1-5,59.6,5-3,39.8,5,Code West,3.4,2.8,6.2,,,3,Uncaptured,5.2,3.8,5-3-7-4,1776.4,7,Abstraction,3.4,,,2-3,18.2,3-1,24.2,3,Kitten's Dumplings,2.6,2.2,3.4,,,1,Praia,7.8,5.2,3-1-5-8,702.2,5,Oscar Party,5.2,,,4-1,87.2,1-5,26.8,1,Funny Proposition,4.2,,13.4,,,,,5,Royal Delta,2.1,,,,4,She's All In,,1-5-4,129.6,5-2,30.6,2-1,69.4,2,Fort Larned,5.2,3.6,8.6,,,1,Golden Ticket,7.2,3.4,2-1-3-6,647.0,3,Ron The Greek,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-06-15
,,,,,,,,4-3,34.2,4,Venus De Milo,4.6,3.8,9.6,3,Barksdale,3.0,2.6,4-3-2-1,347.2,2,Sweet Baguette,4.8,4-3-2,200.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-2,18.8,2-6,12.0,2,Undrafted,2.4,,3.4,6,Mellow Fellow,4.2,,,,5,Channel Isle,,,,2-4,18.6,4-1,110.8,4,Finding More,6.2,3.8,10.2,4-2-4,122.2,1,Magic Union,10.2,4.8,,,3,Tread,2.1,,,4-4,48.4,,,4,Reason To Medal,4.4,3.0,9.6,2-4-4,120.2,4-1/2/3-4-4,488.0,7,Angel Divine,3.2,2.2,,,3,Two Steppin' Tango,2.4,,,4-3,45.0,3-2,57.2,3,Untapable,3.6,2.6,6.8,4-4-3,234.2,2,Harlan's Special,6.2,3.8,,,4,Gamblers Rose,3.2,,,3-6,154.8,6-8,260.4,6,Pastor Puckett,16.4,11.0,50.8,4-3-6,1371.4,8,Charlie's Phantasy,5.0,3.8,,,5,Princini,5.8,,,6-3,509.2,3-2,125.4,3,Jagati,4.8,3.6,8.4,3-6-3,1217.2,,,2,Southern Nights,16.4,6.0,,,6,Favorite Uncle,3.0,,,3-1,32.6,1-7,16.6,1,Bernie The Maestro,2.4,3.0,4.4,6-3-1,1118.0,7,No Rules Now,3.4,2.8,,,4,Signature Event,6.6,,,,,,,4,School Spirit,4.0,3.8,13.2,3-1-4,120.8,6-3-1/9-4,6099.8,3-6-3-1/9-4,3969.7,6,Silver Value,2.6,2.4,,,3,Jazil Bell,4.6,,,2013-06-20
,,,,,,,,2-3,60.4,2,Night Vision,3.8,3.2,5.4,3,Hometown Legend,11.6,6.0,2-3-4-7,2488.0,4,Nickel Pickle,7.2,2-3-4,439.4,8-1,24.0,1-3,19.8,1,Irish Lute,3.0,2.2,5.0,10-8-1,42.2,,,,,3,Uno Duo,3.8,2.6,,,8,Anusara,3.4,,,,,6,Kentucky Lightnin,14.0,11.4,51.0,8-1-6,1729.4,6/10/12-8-1/9-6,2286.2,2-6/10/12-8-1/9-6,623.35,10,Chasenthegold,11.4,10.2,,,9,Feature Winner,5.6,,,2-4,4.8,6-3,6.6,6,Heartless,2.1,2.1,2.6,3,Kerisma,2.6,2.2,,,1,Luce Mia,3.0,,,6-6,63.4,,,6,Rave Reviews,24.6,7.4,55.2,2-4-6,121.8,3,Archetype,6.6,3.8,,,4,Starship Gambler,2.4,,,6-5,84.4,,,5,Conquest Two Step,3.4,2.8,4.0,6-6-5,274.2,2-4/6-6-5,633.4,6,Ride On Curlin,5.2,3.4,,,7,Twang,3.8,,,5-2,127.8,2-1,217.0,2,Curmudgeon,13.6,6.6,53.6,6-5-2,4313.6,1,Musicstreet Menace,4.2,3.0,,,6,Strong Appeal,3.6,,,2-5,135.4,5-7,33.0,5,Friendly Dancer,2.6,2.1,3.6,5-2-5,392.4,7,All Too Impressive,8.0,3.8,,,1,X Country Girl,2.4,,,5-2,153.2,,,2,Ridge City,28.2,9.4,82.8,2-5-2,3961.2,5-2-5/8-2,14032.0,8,Shalangar (ire),8.8,4.4,,,5,Exit,2.6,,,2-10,432.4,10-4,44.2,10,Splurgess,3.2,2.2,4.2,5-2-10,539.4,4,Immortal Fame,10.6,4.8,,,5,Ginny's Grey,2.4,,,10-8,13.4,8-1,170.8,8,Miss Bracken,4.0,2.8,6.0,2-10-8,1354.4,,,,,1,Quality Moment,29.0,13.0,,,7,Rock Hard Cat,2.8,,,2013-06-21
,,,,,,,,4-2,406.8,4,Contrapuntal,16.4,7.4,74.6,2,Lucky Pursuit,4.4,3.2,4-2-8-6,9988.4,8,Rockefeller (brz),3.4,4-2-8,2412.2,2-6,130.4,6-5,20.6,6,Burban,2.8,2.6,6.4,4-2-6,2971.0,,,,,5,Apropos,3.0,2.2,,,3,Glamour Puss,2.2,,,,,2,Masaru,3.2,2.6,5.8,2-6-2,492.6,4-2-6-2,10860.0,10-4-2-6-2,7908.9,5,Panama Will,7.6,4.8,,,9,Recalling Memories,3.4,,,4-2,275.8,2-1,7.0,2,Ration,2.2,2.1,3.8,1,Thanks Bro,2.6,2.1,2-1-6-3,47.4,6,Synchronous,2.6,,,2-1,13.0,1-6,18.6,1,Gospel Lesson,3.2,2.6,5.6,4-2-1,1065.4,6,Banjammer,3.2,2.6,,,2,Conservative,2.6,,,1-7,67.0,,,7,Vindication Now,14.4,5.2,29.6,2-1-7,272.2,4-2-1/4-7,14407.6,2,Cathedro,5.8,3.6,,,8,Madris,2.4,,,7-8,359.4,8-1,112.8,8,Z Rockstar,7.6,5.2,14.8,1-7-8,1046.2,1,It Happened Again,7.4,4.4,,,4,Dynamical,4.0,,,8-3,87.0,3-1,70.0,3,Harborplace,4.2,3.6,7.8,7-8-3,1754.8,1,Slick Pardoned Me,9.6,6.0,,,5,Magical Moment,3.8,,,4-2,614.0,2-8,156.8,2,Gleaning,13.8,9.8,40.2,10-4-2,1395.4,,,8,Kitten's Queen,3.2,3.2,,,1,School Mascot,11.6,,,10-4,85.8,4-2,202.0,4,Take It Like A Man,11.0,4.2,24.2,3-10-4,367.6,2,Hip Four Sixtynine,10.4,5.2,,,9,Coin Flip,2.8,,,3-10,26.0,,,10,Fiftyshadesofgold,3.2,3.0,4.6,8-3-10,279.0,7-8-3-10,3442.2,,,7,More Than Beauty,4.0,3.8,,,9,Del Mar Holiday,6.6,,,2013-06-22
,,,,,,,,3-7,50.8,3,Trenton Street,3.6,2.1,7.4,7,Oblation,7.6,2.6,,,,Won'tualwayswonder,2.1,3-7-1,125.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-6,21.2,6-2,15.0,6,Queen Anna,2.8,2.8,6.6,2,Pure Value,2.6,2.6,6-2-1-4,264.4,1,Issheit,4.4,,,6-5,63.6,5-6,52.6,5,Big Town,7.2,3.8,18.8,,,6,Sabercat,3.0,2.4,5-6-2-4,426.6,2,Awesome Bet,3.0,,,5-3,86.0,3-5,123.0,3,Crazy 'bout Elvis,4.8,4.2,6.8,,,,,5,Zen Lava,15.0,8.6,3-5-2-1,4924.4,2,Almighty Storm,12.4,,,3-1,17.4,1-4,20.8,,The Sixties (gb),3.2,2.6,3.0,,,1,Restricted List,3.2,2.6,1-4-5-8,716.2,4,Alexander Thegreat,4.2,,,1-4,21.4,4-5,61.4,4,Street Story,4.6,3.4,10.2,,,5,Dream Spinner,6.4,4.0,4-5-7-1,4752.2,7,Ocean Boulevard,8.2,,,4-2,34.0,2-1,8.8,2,Honey Hues,2.2,,3.8,1-4-2,46.4,,,,Prissy,2.4,,,,5,Rare Event,,,,2-3,13.6,3-4,61.2,3,Montana Native,4.0,4.0,7.6,,,4,Tap Twenty One,6.4,4.2,3-4-10-5,3969.2,10,Temptress,7.4,,,3-7,32.6,7-6,77.8,7,Face The Fire,4.8,3.6,10.0,,,,,,,6,Grace's Devil,7.8,4.8,7-6-1-9,1275.2,,All In Slew,3.0,,,2013-06-27
,,,,,,,,5-4,43.4,5,Ghostwalking,4.0,2.8,8.8,4,Attractive Ride,4.6,3.8,5-4-2-6,393.4,2,D' Wildcard,2.6,5-4-2,172.6,4-10,25.8,10-6,41.6,10,Proud Strike,4.2,2.8,7.2,,,,,,,6,Hard Aces,6.2,3.0,10-6-8-2,4066.8,8,Title Contender,3.0,10-1,33.6,1-9,35.0,1,Frivolous,4.0,3.0,8.6,,,,,,,9,Grand Giant,4.2,3.2,1-9-12-3,1693.0,12,Posse Attack,6.2,,,5-3,57.2,3-1,34.8,3,Missippi Martini,6.4,3.2,13.4,1,La Stupenda,4.2,2.6,3-1-4-6,248.4,4,W W Olma,2.6,,,3-7,50.4,7-6,28.8,7,Racing Wildly,3.8,2.8,7.2,,,6,Victoria's Vision,4.2,3.2,7-6-2-4,244.4,2,Little Frilly,4.6,,,7-2,40.8,2-6,44.6,2,Escort,4.4,3.4,7.8,,,,,6,Ready For More,6.4,4.6,2-6-5-1,581.2,5,Brown Eyed Jozi,3.8,,,2-6,29.6,6-3,15.6,6,Big Blue Talent,3.0,2.2,4.8,,,3,Sky Drama,4.0,2.4,6-3-1-7,83.2,1,Big Sugar Soda,2.4,,,6-1,15.8,1-8,148.8,1,Beer Garden,6.0,5.2,13.0,,,8,El Jefe Grande,9.2,5.4,1-8-4-11,8194.0,4,Hypothetical,13.0,,,1-4,28.4,4-2,19.0,4,Separation,2.8,2.2,3.4,,,,,2,Fancy Hat,7.4,4.6,4-2-5-7,955.6,5,Natalya,6.0,,,4-4,46.2,4-6,77.0,4,Joy Boy,6.8,3.6,18.0,,,6,Duke Of Del Rey,4.2,2.6,4-6-3-2,665.2,3,Key Donation,2.4,,,4-4,57.2,4-7,57.8,4,Silver Strike,3.6,2.6,5.2,,,,,,,7,La Malaguena,11.4,5.2,4-7-1-6,401.6,1,In Step Dancer,2.1,,,2013-06-28
,,,,,,,,1-5,13.0,1,With Excellence,2.8,2.2,4.4,5,Admired,3.4,2.2,1-5-3-4,84.2,3,Added Delight,2.4,1-5-3,28.2,2-3,10.2,3-6,27.0,3,Smarten Destiny,4.0,3.0,7.6,,,,,,,6,Sir Jock,4.2,2.6,,,8,Cold Feet,3.6,3-3,7.2,1-5,61.6,1,Moonlight Caper,7.2,4.8,17.2,,,,,,,5,Fanfare,4.6,3.4,,,10,Special Guest,3.6,,,1-6,21.6,6-2,16.0,6,Brazen Persuasion,2.6,2.4,5.8,2,Whomping Willow,2.6,2.4,6-2-7-5,455.4,7,Saturday Storms,6.2,,,6-1,77.6,1-4,35.4,1,Right To Vote,4.4,,12.2,1-6-1,147.6,4,Laurie's Rocket,3.4,,,,2,Flashpoint,,,,1-1,108.8,1-6,263.6,1,Elusive Fate,10.6,5.0,22.4,,,,,6,Neith,11.4,5.2,1-6-4-8,4509.8,4,Gamay Noir,2.6,,,1-6,103.8,6-7,32.4,6,Maypark,4.8,3.2,9.6,,,7,Song Ahead,3.4,2.8,6-7-11-1,855.0,11,This Ones For Tony,3.4,,,9-2,12.0,2-4,5.0,2,Wise Dan,2.1,,2.4,,,4,Lea,3.0,,,,7,Seruni,,2-4-7,8.2,7-4,527.6,4-3,48.8,4,Debt Ceiling,5.4,4.2,12.4,,,,,3,Hollywood Talent,4.0,3.2,4-3-2-5,1951.8,2,My Corinthian,5.2,,,4-9,55.6,9-1,21.6,9,Barham,4.2,3.6,9.0,,,1,Le Mans,3.6,3.0,9-1-7-5,670.0,7,Yankee Scholar,6.4,,,6-7,291.0,7-8,786.6,7,Seton Hall,29.4,12.6,65.8,,,,,,,8,Dreaming Blue,12.2,6.4,7-8-11-10,31793.6,11,Cozzetti,3.6,,,2013-06-29
