Age Adjusted CI Lower,Age Adjusted CI Upper,Age Adjusted Rate,Area,Count,Crude CI Lower,Crude CI Upper,Crude Rate,Event Type,Population,Race,Sex,Year
189.0,293.3,237.4,Alabama,100,86.4,129.1,106.2,Incidence,94179,Hispanic,Male and Female,2002
48.6,117.8,78.5,Alabama,23,15.5,36.6,24.4,Mortality,94179,Hispanic,Male and Female,2002
125.4,206.8,162.7,Alabama,82,63.0,98.4,79.2,Incidence,103472,Hispanic,Male and Female,2003
23.1,67.0,41.3,Alabama,17,9.6,26.3,16.4,Mortality,103472,Hispanic,Male and Female,2003
200.8,304.4,249.1,Alabama,119,87.0,125.7,105.0,Incidence,113284,Hispanic,Male and Female,2004
35.4,90.7,59.1,Alabama,24,13.6,31.5,21.2,Mortality,113284,Hispanic,Male and Female,2004
209.3,313.4,258.0,Alabama,125,83.2,119.2,100.0,Incidence,124991,Hispanic,Male and Female,2005
42.4,97.4,66.3,Alabama,31,16.9,35.2,24.8,Mortality,124991,Hispanic,Male and Female,2005
189.9,287.7,235.5,Alabama,124,74.8,107.3,90.0,Incidence,137842,Hispanic,Male and Female,2006
23.7,67.1,41.9,Alabama,18,7.7,20.6,13.1,Mortality,137842,Hispanic,Male and Female,2006
171.2,259.7,212.4,Alabama,130,72.1,102.5,86.3,Incidence,150652,Hispanic,Male and Female,2007
41.2,92.7,63.7,Alabama,33,15.1,30.8,21.9,Mortality,150652,Hispanic,Male and Female,2007
205.3,242.7,223.5,Alabama,794,85.1,97.9,91.3,Incidence,869221,Hispanic,Male and Female,2009
56.9,80.1,67.9,Alabama,170,17.8,24.2,20.8,Mortality,815424,Hispanic,Male and Female,2009
237.3,337.3,284.5,Alabama,181,95.0,127.9,110.6,Incidence,163709,Hispanic,Male and Female,2008
57.8,115.8,83.7,Alabama,42,18.5,34.7,25.7,Mortality,163709,Hispanic,Male and Female,2008
167.9,251.6,207.0,Alabama,138,65.7,92.4,78.2,Incidence,176518,Hispanic,Male and Female,2009
50.1,105.9,74.9,Alabama,37,14.8,28.9,21.0,Mortality,176518,Hispanic,Male and Female,2009
170.1,248.1,206.7,Alabama,164,75.0,102.5,87.9,Incidence,186528,Hispanic,Male and Female,2010
48.9,100.7,72.0,Alabama,40,15.3,29.2,21.4,Mortality,186703,Hispanic,Male and Female,2010
177.8,252.2,212.8,Alabama,181,81.1,109.2,94.4,Incidence,191814,Hispanic,Male and Female,2011
48.9,100.7,72.0,Alabama,40,15.3,29.2,21.4,Mortality,186703,Hispanic,Male and Female,2011
156.6,167.6,162.0,Alabama,3373,198.7,212.6,205.6,Mortality,1640665,White,Female,1999
365.1,382.3,373.6,Alabama,7441,442.5,463.1,452.7,Incidence,1643761,White,Female,2000
157.8,168.9,163.3,Alabama,3438,202.2,216.3,209.2,Mortality,1643761,White,Female,2000
384.4,402.0,393.1,Alabama,7884,468.6,489.8,479.1,Incidence,1645541,White,Female,2001
158.6,169.6,164.0,Alabama,3460,203.3,217.4,210.3,Mortality,1645541,White,Female,2001
391.6,409.3,400.4,Alabama,8058,478.8,500.2,489.4,Incidence,1646445,White,Female,2002
153.9,164.7,159.2,Alabama,3382,198.5,212.5,205.4,Mortality,1646445,White,Female,2002
359.1,376.0,367.5,Alabama,7468,442.2,462.7,452.4,Incidence,1650890,White,Female,2003
154.6,165.5,160.0,Alabama,3435,201.2,215.1,208.1,Mortality,1650890,White,Female,2003
382.1,399.5,390.7,Alabama,8002,472.2,493.5,482.8,Incidence,1657539,White,Female,2004
155.4,166.2,160.7,Alabama,3464,202.1,216.1,209.0,Mortality,1657539,White,Female,2004
384.1,401.5,392.7,Alabama,8143,478.0,499.2,488.5,Incidence,1666877,White,Female,2005
156.6,167.4,161.9,Alabama,3544,205.7,219.7,212.6,Mortality,1666877,White,Female,2005
385.6,402.9,394.1,Alabama,8276,480.6,501.8,491.1,Incidence,1685050,White,Female,2006
150.9,161.5,156.1,Alabama,3460,198.5,212.3,205.3,Mortality,1685050,White,Female,2006
393.0,410.4,401.6,Alabama,8531,491.9,513.3,502.6,Incidence,1697518,White,Female,2007
146.7,157.1,151.8,Alabama,3403,193.8,207.3,200.5,Mortality,1697518,White,Female,2007
398.1,405.8,401.9,Alabama,44031,508.1,517.6,512.8,Incidence,8585884,White,Female,2009
150.8,155.4,153.1,Alabama,17485,201.7,207.8,204.7,Mortality,8539689,White,Female,2009
403.8,421.3,412.5,Alabama,8961,513.2,535.0,524.0,Incidence,1710122,White,Female,2008
148.0,158.3,153.1,Alabama,3516,198.9,212.5,205.6,Mortality,1710122,White,Female,2008
399.1,416.5,407.7,Alabama,8931,508.5,530.1,519.2,Incidence,1720115,White,Female,2009
148.9,159.2,154.0,Alabama,3570,200.8,214.5,207.5,Mortality,1720115,White,Female,2009
391.7,408.8,400.2,Alabama,8904,505.0,526.4,515.6,Incidence,1726861,White,Female,2010
