quantity,questions,exclaims,hour,month,day,length
SINGLE,5.0,1.0,SmallHours,WINTER,Day,2477
SHORT,0.0,0.0,Morning,FALL,End,303
SINGLE,4.0,0.0,Evening,WINTER,Day,3664
LONG,2.0,1.0,Evening,SUMMER,Day,338
SINGLE,2.0,0.0,Morning,SPRING,Day,766
SINGLE,1.0,0.0,Morning,WINTER,End,291
SINGLE,0.0,0.0,Morning,WINTER,Day,747
SINGLE,0.0,0.0,Morning,SPRING,Day,508
SINGLE,0.0,0.0,Evening,FALL,Day,771
SINGLE,0.0,2.0,SmallHours,WINTER,Day,1950
SHORT,0.0,0.0,Morning,SPRING,Day,1070
SINGLE,0.0,0.0,Morning,WINTER,Day,684
SINGLE,0.0,0.0,Evening,SUMMER,Day,555
SINGLE,1.0,3.0,Evening,FALL,Day,1333
SINGLE,2.0,1.0,Evening,FALL,Day,984
