Affirmative,Apprehended,Arrived,Country,Criminal,Defensive Asylum,Inadmissable,Legal permanant residences.Birth,Legal permanant residences.Last Residence,Naturalizations (Birth),Non-criminal,Nonimmigrant Admissions.Birth,Nonimmigrant Admissions.Last Residence,Year
-1,-1,-1,Saint Barthelemy,-1,-1,-1,-1,-1,-1,-1,-1,-1,2007
-1,-1,-1,Cocos (Keeling) Island,-1,-1,-1,-1,-1,-1,-1,-1,10,2007
-1,28,-1,Spain,25,-1,534,1578,1810,1175,40,655788,579586,2007
58,99,1606,Liberia,43,53,72,4102,3771,1815,26,2228,2107,2007
-1,-1,-1,Netherlands,36,-1,12,93,1482,28,39,709357,48364,2007
12,804,-1,Jamaica,1139,4,1315,19375,18873,12314,351,293421,276989,2007
-1,-1,-1,Oman,-1,-1,4,103,-1,15,-1,2495,4769,2007
6,45,-1,Tanzania,8,16,47,832,-1,356,15,6247,5962,2007
-1,-1,-1,Martinique,-1,-1,-1,-1,-1,-1,-1,-1,7526,2007
-1,-1,-1,Bonaire,-1,-1,-1,-1,-1,-1,-1,-1,-1,2007
-1,10,-1,Gabon,-1,-1,29,95,-1,18,-1,1811,1780,2007
-1,-1,-1,Niue,-1,-1,-1,-1,-1,-1,-1,-1,17,2007
-1,-1,-1,Monaco,-1,-1,-1,6,-1,-1,-1,898,6126,2007
-1,-1,-1,Wallis and Futuna,-1,-1,-1,-1,-1,-1,-1,-1,116,2007
-1,19,-1,New Zealand,13,-1,274,1047,1234,447,22,234932,204320,2007
26,106,6,Yemen,17,8,69,2396,-1,734,47,1828,1498,2007
-1,-1,-1,Jersey,-1,-1,-1,-1,-1,-1,-1,-1,-1,2007
133,654,30,Pakistan,112,140,985,13492,-1,9147,433,55739,41334,2007
33,259,-1,Albania,23,421,106,5737,-1,2786,223,7902,5500,2007
-1,25,-1,Samoa,12,-1,51,290,-1,163,11,2418,1982,2007
-1,18,-1,"Micronesia, Federated States",35,-1,33,7,-1,41,8,275,1437,2007
-1,21,-1,Macau,-1,-1,6,178,-1,158,-1,-1,3368,2007
-1,-1,-1,Norfolk Island,-1,-1,-1,-1,-1,-1,-1,-1,-1,2007
-1,27,-1,Australia,21,-1,607,2518,3026,1067,31,813558,748489,2007
-1,-1,-1,Guam,-1,-1,-1,-1,-1,-1,-1,-1,5061,2007
-1,-1,-1,Kosovo,-1,-1,-1,-1,-1,-1,-1,-1,-1,2007
75,795,-1,India,125,359,3083,65353,55371,46871,707,1019766,791842,2007
16,15,78,Azerbaijan,-1,23,21,1166,-1,606,-1,3839,3647,2007
-1,-1,-1,Namibia,-1,-1,-1,57,-1,22,-1,1455,1573,2007
-1,-1,-1,Other America,-1,-1,-1,-1,0,-1,-1,-1,-1,2007
-1,-1,-1,Lesotho,-1,-1,-1,14,-1,11,-1,429,397,2007
-1,-1,-1,Congo (Brazzaville),-1,-1,-1,-1,-1,-1,-1,2764,1773,2007
-1,10,-1,Saint Vincent and the Grenadines,15,-1,109,567,-1,450,11,14640,9863,2007
0,8,-1,United Arab Emirates,0,-1,23,758,-1,253,5,8749,42485,2007
181,160,0,Kenya,43,51,142,7030,-1,1396,83,21843,19102,2007
3,15,-1,Tajikistan,0,5,3,172,-1,109,-1,1442,1323,2007
-1,-1,-1,Greenland,-1,-1,-1,-1,-1,-1,-1,-1,768,2007
16,221,-1,Turkey,35,23,458,4425,4728,2009,120,132942,114875,2007
43,28,441,Afghanistan,11,22,134,1753,-1,2013,16,2539,2011,2007
29,182,-1,Bangladesh,25,100,263,12074,-1,4746,113,13100,9485,2007
-1,-1,-1,Andorra,-1,-1,-1,-1,-1,-1,-1,912,1524,2007
12,62,62,Mauritania,4,174,19,651,-1,72,17,1123,642,2007
-1,-1,-1,Solomon Islands,-1,-1,-1,10,-1,-1,-1,304,313,2007
-1,3,-1,Turks and Caicos Islands,0,-1,26,31,-1,14,3,-1,25259,2007
-1,37,-1,Saint Lucia,27,-1,76,928,-1,506,19,19891,18153,2007
-1,43,-1,Soviet Union (former),-1,191,38,5090,-1,2813,-1,-1,-1,2007
-1,-1,-1,Cyprus,-1,-1,17,137,-1,109,-1,9637,11094,2007
104,54,-1,Mongolia,6,49,86,530,-1,53,40,6832,5870,2007
-1,69,-1,France,22,-1,2584,3494,3680,2011,78,1414627,1196097,2007
71,8,202,Rwanda,-1,22,28,357,-1,91,-1,2391,1923,2007
-1,23,-1,Slovakia,6,-1,72,763,-1,380,38,28049,24611,2007
76,98,6969,Somalia,3,109,109,6251,-1,3594,16,271,75,2007
44,944,-1,Peru,295,54,1065,17699,17056,7965,913,211340,186752,2007
34,117,117,Laos,-1,6,45,2575,-1,3787,-1,2988,2711,2007
-1,-1,-1,Nauru,-1,-1,-1,-1,-1,-1,-1,57,41,2007
-1,-1,-1,Seychelles,-1,-1,-1,7,-1,5,-1,290,251,2007
-1,7,-1,Norway,4,-1,171,343,388,105,5,199296,188472,2007
54,72,11,Cote d'Ivoire,4,135,109,1193,-1,382,26,3001,2095,2007
-1,-1,-1,Cook Islands,-1,-1,-1,-1,-1,-1,-1,-1,537,2007
-1,10,-1,Benin,3,-1,62,258,-1,61,4,2326,1666,2007
-1,-1,-1,Korea,-1,-1,-1,-1,21278,-1,-1,-1,-1,2007
-1,-1,-1,Western Sahara,-1,-1,-1,-1,-1,-1,-1,-1,9,2007
43,4931,2922,Cuba,26,26,12993,29104,25441,15394,50,11237,11137,2007
-1,-1,-1,Not Specified,-1,-1,-1,-1,42081,-1,-1,-1,-1,2007
-1,0,-1,Montenegro,0,-1,0,0,-1,0,0,-1,-1,2007
62,43,40,Togo,7,82,49,1565,-1,473,16,1689,1284,2007
1831,1623,27,China,97,4552,5257,76655,70924,33134,767,685026,432507,2007
205,60,29,Armenia,34,179,91,4351,-1,1495,40,4641,4108,2007
-1,-1,-1,Other Caribbean,-1,-1,-1,-1,12151,-1,-1,-1,-1,2007
-1,-1,-1,Congo (Kinshas),-1,-1,-1,-1,-1,-1,-1,996,851,2007
3,2118,-1,Dominican Republic,2044,5,1612,28024,27875,20645,946,301306,301790,2007
