abandoned,air traffic control tower,belltower,bridge,casino,city,city_id,commercial,completed.year,country,country id,current,education,exhibition,floors above,government,height,hospital,hotel,id,industrial,is completed,is started,latitude,library,longitude,material,multiple,museum,name,number of purposes,observation,office,other,rank,religious,residential,retail,serviced apartments,started.year,telecommunications
False,False,False,False,False,Dallas,1554,False,0,US,163,vision,False,False,0,False,278.2799987793,False,True,9263,False,False,False,0,False,0,concrete,False,False,Dallas Tower,2,False,True,False,60,False,False,False,False,0,False
False,False,False,False,False,Houston,1593,False,1982,US,163,completed,False,False,64,False,274.63000488281,False,False,661,False,True,True,29.737190246582,False,-95.461212158203,steel,False,False,Williams Tower,1,False,True,False,61,False,False,False,False,1981,False
False,False,False,False,False,New York City,1641,False,2018,US,163,under construction,False,False,42,False,272.20001220703,False,False,14787,False,True,True,40.760459899902,False,-73.971099853516,composite,False,False,425 Park Avenue,1,False,True,False,62,False,False,False,False,2015,False
False,False,False,False,False,Seattle,1680,False,0,US,163,proposed,False,False,60,False,270.66000366211,False,False,16020,False,False,False,47.604339599609,False,-122.33361053467,steel,False,False,888 2nd Avenue,2,False,True,False,63,False,True,False,False,0,False
False,False,False,False,False,Dallas,1554,False,1986,US,163,completed,False,False,56,False,270.05999755859,False,False,683,False,True,False,32.781261444092,False,-96.801918029785,steel,False,False,Renaissance Tower,1,False,True,False,64,False,False,False,False,0,False
False,False,False,False,False,New York City,1641,False,2016,US,163,architecturally topped out,False,False,52,False,267.67001342773,False,False,13326,False,True,True,40.752849578857,False,-74.001327514648,composite,False,False,10 Hudson Yards,1,False,True,False,65,False,False,False,False,2013,False
False,False,False,False,False,Charlotte,1544,False,1992,US,163,completed,False,False,60,False,265.48001098633,False,False,711,False,True,True,35.227291107178,False,-80.842086791992,concrete,False,False,Bank of America Corporate Center,1,False,True,False,66,False,False,False,False,1989,False
False,False,False,False,False,New York City,1641,False,2011,US,163,completed,False,False,76,False,265.17999267578,False,False,699,False,True,True,40.710861206055,False,-74.005668640137,concrete,False,False,Eight Spruce Street,1,False,False,False,67,False,True,False,False,2006,False
False,False,False,False,False,Chicago,1539,False,1989,US,163,completed,False,False,66,False,265,False,True,708,False,True,False,41.899658203125,False,-87.624710083008,concrete/steel,False,False,900 North Michigan Avenue,4,False,True,False,68,False,True,True,False,0,False
False,False,False,False,False,Midland,1624,False,0,US,163,vision,False,False,53,False,264.95999145508,False,True,15189,False,False,False,31.997970581055,False,-102.07623291016,composite,False,False,Energy Tower at City Center,3,False,True,False,69,False,True,False,False,0,False
False,False,False,False,False,Atlanta,1509,False,1992,US,163,completed,False,False,60,False,264.25,False,False,724,False,True,True,33.762699127197,False,-84.38646697998,concrete,False,False,SunTrust Plaza,1,False,True,False,70,False,False,False,False,1989,False
False,False,False,False,False,New York City,1641,False,2001,US,163,completed,False,False,72,False,262.44000244141,False,False,735,False,True,True,40.752521514893,False,-73.967666625977,concrete,False,False,Trump World Tower,1,False,False,False,71,False,True,False,False,1999,False
False,False,False,False,False,Chicago,1539,False,1976,US,163,completed,False,False,74,False,261.88000488281,False,True,739,False,True,True,41.897968292236,False,-87.622840881348,concrete,False,False,Water Tower Place,3,False,False,False,72,False,True,True,False,1972,False
False,False,False,False,False,Chicago,1539,False,2009,US,163,completed,False,False,86,False,261.75,False,True,886,False,True,True,41.886478424072,False,-87.619918823242,concrete,False,False,Aqua,2,False,False,False,73,False,True,False,False,2007,False
